"","tag","percent"
"1","battery",0.0234536082474227
"2","water damage",0.0167525773195876
"3","screen replacement",0.0130154639175258
"4","charging",0.0121134020618557
"5","screen",0.0104381443298969
"6","battery replacement",0.00786082474226804
"7","screen issue",0.00760309278350515
"8","black screen",0.00682989690721649
"9","charging port",0.00605670103092784
"10","charging issue",0.00554123711340206
"11","lcd",0.00502577319587629
"12","logic board",0.00502577319587629
"13","macbook pro",0.00489690721649485
"14","display",0.0047680412371134
"15","battery charge problem",0.0047680412371134
"16","motherboard",0.00425257731958763
"17","iphone",0.00412371134020619
"18","keyboard",0.0038659793814433
"19","replacement",0.0038659793814433
"20","wont turn on",0.00360824742268041
"21","repair",0.00347938144329897
"22","digitizer",0.00322164948453608
"23","power",0.00322164948453608
"24","not turning on",0.0029639175257732
"25","wifi not working",0.00283505154639175
"26","display  issues",0.00283505154639175
"27","iphone6",0.00283505154639175
"28","lcd + digitizer replacement",0.00283505154639175
"29","power supply",0.00283505154639175
"30","camera",0.00270618556701031
"31","power  problem",0.00270618556701031
"32","touchscreen",0.00270618556701031
"33","samsung",0.00270618556701031
"34","keyboard not working",0.00257731958762887
"35","speaker",0.00257731958762887
"36","overheating",0.00244845360824742
"37","battery not charging",0.00244845360824742
"38","microphone",0.00244845360824742
"39","home button",0.00231958762886598
"40","imac",0.00231958762886598
"41","damage",0.00231958762886598
"42","not charging",0.00231958762886598
"43","backlight",0.00231958762886598
"44","help",0.00231958762886598
"45","touchscreen not responding",0.00219072164948454
"46","not working",0.00206185567010309
"47","power button",0.00206185567010309
"48","cracked screen",0.00206185567010309
"49","screen repair",0.00206185567010309
"50","no power",0.00206185567010309
"51","lcd replacement",0.00193298969072165
"52","battery problem",0.00193298969072165
"53","laptop",0.00193298969072165
"54","hard drive",0.00180412371134021
"55","boot loop",0.00180412371134021
"56","broken screen",0.00180412371134021
"57","water and liquid damage",0.00180412371134021
"58","bluetooth",0.00167525773195876
"59","sound problem",0.00167525773195876
"60","keyboard replacement",0.00167525773195876
"61","won't turn on",0.00167525773195876
"62","camera not working",0.00154639175257732
"63","microphone not working",0.00154639175257732
"64","dead",0.00154639175257732
"65","liquid damage",0.00154639175257732
"66","wifi",0.00154639175257732
"67","data recovery",0.00141752577319588
"68","backlight not working",0.00141752577319588
"69","screen black",0.00141752577319588
"70","touch id",0.00141752577319588
"71","charging problem",0.00141752577319588
"72","boot failure",0.00141752577319588
"73","asus",0.00141752577319588
"74","apple",0.00141752577319588
"75","home button not working",0.00141752577319588
"76","trackpad",0.00141752577319588
"77","upgrade",0.00141752577319588
"78","ssd upgrade",0.00141752577319588
"79","fan",0.00128865979381443
"80","hard drive replacement",0.00128865979381443
"81","ram",0.00128865979381443
"82","lcd screen",0.00128865979381443
"83","audio problem",0.00128865979381443
"84","boot",0.00128865979381443
"85","headphone jack",0.00128865979381443
"86","ssd",0.00128865979381443
"87","problem",0.00128865979381443
"88","sim card",0.00115979381443299
"89","ram upgrade",0.00115979381443299
"90","bootloop",0.00115979381443299
"91","iphone 5s",0.00115979381443299
"92","buttons not working",0.00115979381443299
